test_id,node,test_category,test_description,test,result,failure_reason
242,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.6,PASS,
243,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.8,PASS,
244,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.10,PASS,
245,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.5,PASS,
246,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.12,PASS,
247,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.14,PASS,
248,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.16,PASS,
249,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.4,PASS,
250,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.18,PASS,
251,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.20,PASS,
252,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.22,PASS,
253,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.1,PASS,
254,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.7,PASS,
255,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.13,PASS,
256,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.19,PASS,
257,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.25,PASS,
258,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.31,PASS,
259,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.3,PASS,
260,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.9,PASS,
261,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.15,PASS,
262,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.21,PASS,
263,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.27,PASS,
264,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.33,PASS,
265,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.5,PASS,
266,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.11,PASS,
267,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.17,PASS,
268,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.23,PASS,
269,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.29,PASS,
270,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.35,PASS,
271,borderleaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
272,borderleaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
273,borderleaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
274,borderleaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
275,borderleaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
276,borderleaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
277,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
278,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
279,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
280,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
281,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
282,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
283,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
284,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
285,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
286,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
287,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
288,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
289,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.5,PASS,
290,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.6,PASS,
291,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.1,PASS,
292,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.2,PASS,
293,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.3,PASS,
294,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.4,PASS,
295,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.5,PASS,
296,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.6,PASS,
297,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.1,PASS,
298,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.2,PASS,
299,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.3,PASS,
300,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.4,PASS,
301,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.5,PASS,
302,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.6,PASS,
303,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.1,PASS,
304,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.2,PASS,
305,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.3,PASS,
306,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.4,PASS,
307,borderleaf1,Routing Table,Remote VTEP address,192.168.102.5,PASS,
308,borderleaf1,Routing Table,Remote VTEP address,192.168.102.1,PASS,
309,borderleaf1,Routing Table,Remote VTEP address,192.168.102.3,PASS,
310,borderleaf2,Routing Table,Remote VTEP address,192.168.102.5,PASS,
311,borderleaf2,Routing Table,Remote VTEP address,192.168.102.1,PASS,
312,borderleaf2,Routing Table,Remote VTEP address,192.168.102.3,PASS,
313,leaf1,Routing Table,Remote VTEP address,192.168.102.5,PASS,
314,leaf1,Routing Table,Remote VTEP address,192.168.102.1,PASS,
315,leaf1,Routing Table,Remote VTEP address,192.168.102.3,PASS,
316,leaf2,Routing Table,Remote VTEP address,192.168.102.5,PASS,
317,leaf2,Routing Table,Remote VTEP address,192.168.102.1,PASS,
318,leaf2,Routing Table,Remote VTEP address,192.168.102.3,PASS,
319,leaf3,Routing Table,Remote VTEP address,192.168.102.5,PASS,
320,leaf3,Routing Table,Remote VTEP address,192.168.102.1,PASS,
321,leaf3,Routing Table,Remote VTEP address,192.168.102.3,PASS,
322,leaf4,Routing Table,Remote VTEP address,192.168.102.5,PASS,
323,leaf4,Routing Table,Remote VTEP address,192.168.102.1,PASS,
324,leaf4,Routing Table,Remote VTEP address,192.168.102.3,PASS,
325,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.5,PASS,
326,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.6,PASS,
327,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
328,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
329,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
330,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
331,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
332,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
333,borderleaf1,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
334,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.5,PASS,
335,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.6,PASS,
336,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
337,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
338,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
339,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
340,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
341,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
342,borderleaf2,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
343,leaf1,Routing Table,Remote Lo0 address,192.168.101.5,PASS,
344,leaf1,Routing Table,Remote Lo0 address,192.168.101.6,PASS,
345,leaf1,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
346,leaf1,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
347,leaf1,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
348,leaf1,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
349,leaf1,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
350,leaf1,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
351,leaf1,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
352,leaf2,Routing Table,Remote Lo0 address,192.168.101.5,PASS,
353,leaf2,Routing Table,Remote Lo0 address,192.168.101.6,PASS,
354,leaf2,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
355,leaf2,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
356,leaf2,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
357,leaf2,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
358,leaf2,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
359,leaf2,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
360,leaf2,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
361,leaf3,Routing Table,Remote Lo0 address,192.168.101.5,PASS,
362,leaf3,Routing Table,Remote Lo0 address,192.168.101.6,PASS,
363,leaf3,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
364,leaf3,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
365,leaf3,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
366,leaf3,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
367,leaf3,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
368,leaf3,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
369,leaf3,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
370,leaf4,Routing Table,Remote Lo0 address,192.168.101.5,PASS,
371,leaf4,Routing Table,Remote Lo0 address,192.168.101.6,PASS,
372,leaf4,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
373,leaf4,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
374,leaf4,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
375,leaf4,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
376,leaf4,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
377,leaf4,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
378,leaf4,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
379,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.5,PASS,
380,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.6,PASS,
381,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.1,PASS,
382,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.2,PASS,
383,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.3,PASS,
384,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.4,PASS,
385,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.11,PASS,
386,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.12,PASS,
387,borderleaf1,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf1 - 192.168.101.5 Destination: 192.168.101.13,PASS,
388,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.5,PASS,
389,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.6,PASS,
390,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.1,PASS,
391,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.2,PASS,
392,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.3,PASS,
393,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.4,PASS,
394,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.11,PASS,
395,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.12,PASS,
396,borderleaf2,Loopback0 Reachability,Loopback0 Reachability,Source: borderleaf2 - 192.168.101.6 Destination: 192.168.101.13,PASS,
397,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.5,PASS,
398,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.6,PASS,
399,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.1,PASS,
400,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.2,PASS,
401,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.3,PASS,
402,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.4,PASS,
403,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.11,PASS,
404,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.12,PASS,
405,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.13,PASS,
406,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.5,PASS,
407,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.6,PASS,
408,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.1,PASS,
409,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.2,PASS,
410,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.3,PASS,
411,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.4,PASS,
412,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.11,PASS,
413,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.12,PASS,
414,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.13,PASS,
415,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.5,PASS,
416,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.6,PASS,
417,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.1,PASS,
418,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.2,PASS,
419,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.3,PASS,
420,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.4,PASS,
421,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.11,PASS,
422,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.12,PASS,
423,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.13,PASS,
424,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.5,PASS,
425,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.6,PASS,
426,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.1,PASS,
427,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.2,PASS,
428,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.3,PASS,
429,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.4,PASS,
430,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.11,PASS,
431,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.12,PASS,
432,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.13,PASS,
